   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 715,        123287,          122579,          82655,      5896,         715,       3874
 720,        125185,          124472,          86554,      5939,         720,       4397
 725,        127079,          126361,         165752,      5972,         725,       6354
 730,        129226,          128503,          95824,      6049,         730,       4294
 735,        130875,          130147,          90772,      6103,         735,       4018
 740,        133365,          132632,         131206,      6107,         740,       4632
 745,        135457,          134719,         149815,      6173,         745,       4056
 750,        137477,          136734,          97903,      6216,         750,       4125
 755,        139093,          138345,         101299,      6264,         755,       4270
 760,        140613,          139860,          95300,      6330,         760,       4145
 765,        141730,          140972,          96926,      6363,         765,       4184
 770,        143942,          143179,          96006,      6416,         770,       4254
 775,        146384,          145616,          98302,      6469,         775,       4291
 780,        148054,          147281,          98964,      6503,         780,       4287
 785,        149746,          148968,         100344,      6565,         785,       4377
 790,        151828,          151045,         102823,      6617,         790,       4343
 795,        153695,          152907,         106381,      6671,         795,       4471
 800,        155535,          154742,         132115,      6726,         800,       4734
 805,        157766,          156968,         119184,      6740,         805,       5733
 810,        159314,          158511,         111540,      6808,         810,       4485
 815,        161504,          160697,         107599,      6850,         815,       4513
 820,        164619,          163807,         110191,      6913,         820,       4514
 825,        166452,          165635,         112431,      6959,         825,       4554
 830,        168523,          167701,         113380,      7011,         830,       4689
 835,        170525,          169698,         115216,      7060,         835,       4606
 840,        172423,          171591,         123363,      7102,         840,       4842
 845,        174157,          173320,         118040,      7183,         845,       4679
 850,        176426,          175584,         118585,      7203,         850,       4711
 855,        177841,          176994,         119444,      7266,         855,       4970
 860,        180093,          179241,         120882,      7304,         860,       5013
 865,        181683,          180826,         122904,      7379,         865,       4860
 870,        183590,          182728,         124088,      7414,         870,       4854
 875,        186335,          185468,         126829,      7457,         875,       4881
 880,        188857,          187985,         129673,      7503,         880,       4889
 885,        191692,          190815,         129094,      7555,         885,       4991
 890,        193398,          192516,         213690,      7585,         890,       5808
 895,        194541,          193654,         145518,      7637,         895,       5287
 900,        197072,          196180,         178378,      7696,         900,       5665
 905,        199628,          198731,         155903,      7732,         905,       5042
 910,        201765,          200863,         137041,      7799,         910,       5184
 915,        204806,          203899,         140848,      7851,         915,       5275
 920,        206461,          205549,         138714,      7912,         920,       5186
 925,        208812,          207895,         141701,      7955,         925,       5313
 930,        210454,          209532,         142016,      8005,         930,       5252
 935,        213137,          212210,         144118,      8052,         935,       5385
 940,        215697,          214765,         145746,      8096,         940,       5481
 945,        218246,          217309,         147501,      8164,         945,       5328
 950,        219796,          218854,         154324,      8217,         950,       5975
 955,        222094,          221147,         149669,      8255,         955,       5653
 960,        224304,          223352,         152690,      8300,         960,       5566
 965,        226024,          225067,         153749,      8362,         965,       5444
 970,        227915,          226953,         153995,      8398,         970,       5402
 975,        231744,          230777,         158179,      8458,         975,       5517
 980,        234111,          233139,         158773,      8493,         980,       5568
 985,        235958,          234981,         161252,      8542,         985,       5579
 990,        237433,          236451,         160461,      8597,         990,       5591
 995,        240838,          239851,         163969,      8649,         995,       5656
1000,        242884,          241892,         164603,      8693,        1000,       5646
